named_labels,model,variable,horizon_years,value
claim_payoff_neutral_automation_positive|rental_tax_base_neutral_automation_positive,automation_persistence_0.81,claim_loading_state_functional,10.0,-2.985744066571099e-19
claim_payoff_neutral_automation_positive|rental_tax_base_neutral_automation_positive,automation_persistence_0.81,claim_loading_state_functional,15.0,-1.0384292276401796e-19
claim_payoff_neutral_automation_positive|rental_tax_base_neutral_automation_positive,automation_persistence_0.81,claim_loading_state_functional,20.0,-4.8875237309522716e-20
claim_payoff_neutral_automation_positive|rental_tax_base_neutral_automation_positive,automation_persistence_0.81,claim_loading_state_functional,30.0,-8.725518615182058e-21
claim_payoff_neutral_automation_positive|rental_tax_base_neutral_automation_positive,automation_persistence_0.81,claim_loading_state_functional,40.0,2.362408856673755e-20
claim_payoff_neutral_automation_positive|rental_tax_base_neutral_automation_positive,automation_persistence_0.95,claim_loading_state_functional,0.0,1.161097098851355e-19
claim_payoff_neutral_automation_positive|rental_tax_base_neutral_automation_positive,automation_persistence_0.95,claim_loading_state_functional,0.25,5.561383552224009e-05
claim_payoff_neutral_automation_positive|rental_tax_base_neutral_automation_positive,automation_persistence_0.95,claim_loading_state_functional,0.5,0.00010766515123455154
claim_payoff_neutral_automation_positive|rental_tax_base_neutral_automation_positive,automation_persistence_0.95,claim_loading_state_functional,1.0,0.00020183764482968903
claim_payoff_neutral_automation_positive|rental_tax_base_neutral_automation_positive,automation_persistence_0.95,claim_loading_state_functional,2.0,0.00035523425490025255
claim_payoff_neutral_automation_positive|rental_tax_base_neutral_automation_positive,automation_persistence_0.95,claim_loading_state_functional,3.0,0.00046989822092799915
claim_payoff_neutral_automation_positive|rental_tax_base_neutral_automation_positive,automation_persistence_0.95,claim_loading_state_functional,5.0,0.0006128691920459645
claim_payoff_neutral_automation_positive|rental_tax_base_neutral_automation_positive,automation_persistence_0.95,claim_loading_state_functional,7.5,0.0006844658651178311
claim_payoff_neutral_automation_positive|rental_tax_base_neutral_automation_positive,automation_persistence_0.95,claim_loading_state_functional,10.0,0.0006879207718541272
claim_payoff_neutral_automation_positive|rental_tax_base_neutral_automation_positive,automation_persistence_0.95,claim_loading_state_functional,15.0,0.0006068105658415843
claim_payoff_neutral_automation_positive|rental_tax_base_neutral_automation_positive,automation_persistence_0.95,claim_loading_state_functional,20.0,0.0004955186834438304
claim_payoff_neutral_automation_positive|rental_tax_base_neutral_automation_positive,automation_persistence_0.95,claim_loading_state_functional,30.0,0.00030685341626234756
claim_payoff_neutral_automation_positive|rental_tax_base_neutral_automation_positive,automation_persistence_0.95,claim_loading_state_functional,40.0,0.00018496067596030492
output_neutral_automation_positive,automation_persistence_0.50,output_deviation_linear,0.0,-1.6929036495709847e-19
output_neutral_automation_positive,automation_persistence_0.50,output_deviation_linear,0.25,-2.4033169166551544e-05
output_neutral_automation_positive,automation_persistence_0.50,output_deviation_linear,0.5,-4.299752933712386e-05
output_neutral_automation_positive,automation_persistence_0.50,output_deviation_linear,1.0,-6.907575704813199e-05
output_neutral_automation_positive,automation_persistence_0.50,output_deviation_linear,2.0,-9.050907463822218e-05
output_neutral_automation_positive,automation_persistence_0.50,output_deviation_linear,3.0,-9.077932765478741e-05
output_neutral_automation_positive,automation_persistence_0.50,output_deviation_linear,5.0,-7.188359214073392e-05
output_neutral_automation_positive,automation_persistence_0.50,output_deviation_linear,7.5,-4.7544753523079746e-05
output_neutral_automation_positive,automation_persistence_0.50,output_deviation_linear,10.0,-3.15183169327797e-05
output_neutral_automation_positive,automation_persistence_0.50,output_deviation_linear,15.0,-1.6267905325572493e-05
output_neutral_automation_positive,automation_persistence_0.50,output_deviation_linear,20.0,-1.0287378955684368e-05
output_neutral_automation_positive,automation_persistence_0.50,output_deviation_linear,30.0,-4.571871470517593e-06
output_neutral_automation_positive,automation_persistence_0.50,output_deviation_linear,40.0,-1.3524831441669079e-06
output_neutral_automation_positive,automation_persistence_0.81,output_deviation_linear,0.0,-1.6929036495709847e-19
output_neutral_automation_positive,automation_persistence_0.81,output_deviation_linear,0.25,3.603164666320718e-06
output_neutral_automation_positive,automation_persistence_0.81,output_deviation_linear,0.5,7.065105489886553e-06
output_neutral_automation_positive,automation_persistence_0.81,output_deviation_linear,1.0,1.3577116772357631e-05
output_neutral_automation_positive,automation_persistence_0.81,output_deviation_linear,2.0,2.5035082156799237e-05
output_neutral_automation_positive,automation_persistence_0.81,output_deviation_linear,3.0,3.4556689562429596e-05
output_neutral_automation_positive,automation_persistence_0.81,output_deviation_linear,5.0,4.8489454188001895e-05
output_neutral_automation_positive,automation_persistence_0.81,output_deviation_linear,7.5,5.799989370220737e-05
output_neutral_automation_positive,automation_persistence_0.81,output_deviation_linear,10.0,6.0857523045056414e-05
output_neutral_automation_positive,automation_persistence_0.81,output_deviation_linear,15.0,5.410901645325187e-05
output_neutral_automation_positive,automation_persistence_0.81,output_deviation_linear,20.0,3.989540111089264e-05
output_neutral_automation_positive,automation_persistence_0.81,output_deviation_linear,30.0,1.3093011528919471e-05
output_neutral_automation_positive,automation_persistence_0.81,output_deviation_linear,40.0,-4.666241686867102e-08
output_neutral_automation_positive,automation_persistence_0.95,output_deviation_linear,0.0,-1.6929036495709847e-19
output_neutral_automation_positive,automation_persistence_0.95,output_deviation_linear,0.25,1.3520411854199107e-05
output_neutral_automation_positive,automation_persistence_0.95,output_deviation_linear,0.5,2.6539795784164176e-05
output_neutral_automation_positive,automation_persistence_0.95,output_deviation_linear,1.0,5.1165163627180004e-05
output_neutral_automation_positive,automation_persistence_0.95,output_deviation_linear,2.0,9.531741319327466e-05
output_neutral_automation_positive,automation_persistence_0.95,output_deviation_linear,3.0,0.00013356491823241862
output_neutral_automation_positive,automation_persistence_0.95,output_deviation_linear,5.0,0.0001956144801268659
output_neutral_automation_positive,automation_persistence_0.95,output_deviation_linear,7.5,0.0002518545800336318
output_neutral_automation_positive,automation_persistence_0.95,output_deviation_linear,10.0,0.0002896702938839207
output_neutral_automation_positive,automation_persistence_0.95,output_deviation_linear,15.0,0.0003234454017034071
output_neutral_automation_positive,automation_persistence_0.95,output_deviation_linear,20.0,0.0003166982147352372
output_neutral_automation_positive,automation_persistence_0.95,output_deviation_linear,30.0,0.0002396865434931783
output_neutral_automation_positive,automation_persistence_0.95,output_deviation_linear,40.0,0.00014762617789562365
output_neutral_automation_positive,automation_persistence_0.50,wage_income_deviation_linear,0.0,-0.0002441595597749135
output_neutral_automation_positive,automation_persistence_0.50,wage_income_deviation_linear,0.25,-0.00022117479021457377
output_neutral_automation_positive,automation_persistence_0.50,wage_income_deviation_linear,0.5,-0.0002010252497708652
output_neutral_automation_positive,automation_persistence_0.50,wage_income_deviation_linear,1.0,-0.00016766977953922385
output_neutral_automation_positive,automation_persistence_0.50,wage_income_deviation_linear,2.0,-0.000120775879204955
output_neutral_automation_positive,automation_persistence_0.50,wage_income_deviation_linear,3.0,-9.043430122402398e-05
output_neutral_automation_positive,automation_persistence_0.50,wage_income_deviation_linear,5.0,-5.5073157055851735e-05
